Trans. Date,Debits,Credits,Balance,Date,Day_of_week,Month,Month_name
2021-06-01,0.0,23125.0,30543.27,2021-06-01,Tuesday,6,Jun
2021-06-01,500.0,0.0,30043.27,2021-06-01,Tuesday,6,Jun
2021-06-01,1000.0,0.0,29043.27,2021-06-01,Tuesday,6,Jun
2021-06-01,10.0,0.0,29033.27,2021-06-01,Tuesday,6,Jun
2021-06-01,0.75,0.0,29032.52,2021-06-01,Tuesday,6,Jun
2021-06-01,50.0,0.0,28982.52,2021-06-01,Tuesday,6,Jun
2021-06-02,1200.0,0.0,27782.52,2021-06-02,Wednesday,6,Jun
2021-06-02,594.0,0.0,27188.52,2021-06-02,Wednesday,6,Jun
2021-06-02,663.94,0.0,26524.58,2021-06-02,Wednesday,6,Jun
2021-06-03,1500.0,0.0,25024.58,2021-06-03,Thursday,6,Jun
2021-06-03,10.0,0.0,25014.58,2021-06-03,Thursday,6,Jun
2021-06-03,0.75,0.0,25013.83,2021-06-03,Thursday,6,Jun
2021-06-03,3080.0,0.0,21933.83,2021-06-03,Thursday,6,Jun
2021-06-03,5000.0,0.0,16933.83,2021-06-03,Thursday,6,Jun
2021-06-03,10.0,0.0,16923.83,2021-06-03,Thursday,6,Jun
2021-06-03,0.75,0.0,16923.08,2021-06-03,Thursday,6,Jun
2021-06-03,3000.0,0.0,13923.08,2021-06-03,Thursday,6,Jun
2021-06-03,10.0,0.0,13913.08,2021-06-03,Thursday,6,Jun
2021-06-03,0.75,0.0,13912.33,2021-06-03,Thursday,6,Jun
2021-06-03,2100.0,0.0,11812.33,2021-06-03,Thursday,6,Jun
2021-06-03,10.0,0.0,11802.33,2021-06-03,Thursday,6,Jun
2021-06-03,0.75,0.0,11801.58,2021-06-03,Thursday,6,Jun
2021-06-03,1100.0,0.0,10701.58,2021-06-03,Thursday,6,Jun
2021-06-03,5000.0,0.0,5701.58,2021-06-03,Thursday,6,Jun
2021-06-03,0.0,15732.0,21433.58,2021-06-03,Thursday,6,Jun
2021-06-03,50.0,0.0,21383.58,2021-06-03,Thursday,6,Jun
2021-06-04,5000.0,0.0,16383.58,2021-06-04,Friday,6,Jun
2021-06-04,10.0,0.0,16373.58,2021-06-04,Friday,6,Jun
2021-06-04,0.75,0.0,16372.83,2021-06-04,Friday,6,Jun
2021-06-04,1100.0,0.0,15272.83,2021-06-04,Friday,6,Jun
2021-06-04,2000.0,0.0,13272.83,2021-06-04,Friday,6,Jun
2021-06-04,10.0,0.0,13262.83,2021-06-04,Friday,6,Jun
2021-06-04,0.75,0.0,13262.08,2021-06-04,Friday,6,Jun
